,Player,#,Finish,R1,R2,R3,R4,R1.1,R2.1,R3.1,ToPar,Total Score,Money,DraftKings Salary,More Info
0,"Arnold PalmerPlayoff: Beat Gary Player & Dow Finsterwald in a 18 hole playoff - Palmer 68, Player 71 & Finsterwald 77",,Win,70,66,69,75,3,1,1,-8,280,"$20,000",-,bio - career - this year - this tournament
1,"Gary PlayerPlayoff: Lost to Arnold Palmer in a 18 hole playoff - Palmer 68, Player 71 & Finsterwald 77",,2,67,71,71,71,1,2,3,-8,280,"$12,000",-,bio - career - this year - this tournament
2,"Dow FinsterwaldPlayoff: Lost to Arnold Palmer in a 18 hole playoff - Palmer 68, Player 71 & Finsterwald 77",,3,74,68,65,73,29,5,2,-8,280,"$8,000",-,bio - career - this year - this tournament
3,Gene Littler,,4,71,68,71,72,7,3,4,-6,282,"$6,000",-,bio - career - this year - this tournament
4,Jerry Barber,,T5,72,72,69,74,12,10,5,-1,287,"$3,600",-,bio - career - this year - this tournament
5,Jimmy Demaret,,T5,73,73,71,70,22,21,13,-1,287,"$3,600",-,bio - career - this year - this tournament
6,Billy Maxwell,,T5,71,73,72,71,7,10,9,-1,287,"$3,600",-,bio - career - this year - this tournament
7,Mike Souchak,,T5,70,72,74,71,3,5,9,-1,287,"$3,600",-,bio - career - this year - this tournament
8,Charles Coe,,T9,72,74,71,71,12,21,13,E,288,,-,bio - career - this year - this tournament
9,Ken Venturi,,T9,75,70,71,72,44,15,9,E,288,"$2,000",-,bio - career - this year - this tournament
10,Julius Boros,,T11,69,73,72,76,2,5,7,+2,290,"$1,450",-,bio - career - this year - this tournament
11,Gay Brewer,,T11,74,71,70,75,29,15,8,+2,290,"$1,450",-,bio - career - this year - this tournament
12,Jack Fleck,,T11,72,75,74,69,12,26,31,+2,290,"$1,450",-,bio - career - this year - this tournament
13,Harold Henning,,T11,75,73,72,70,44,33,25,+2,290,"$1,450",-,bio - career - this year - this tournament
14,Billy Casper,,T15,73,73,73,72,22,21,19,+3,291,"$1,160",-,bio - career - this year - this tournament
15,Gardner Dickinson,,T15,70,71,72,78,3,4,5,+3,291,"$1,160",-,bio - career - this year - this tournament
16,Paul Harney,,T15,74,71,74,72,29,15,19,+3,291,"$1,160",-,bio - career - this year - this tournament
17,Jack Nicklaus,,T15,74,75,70,72,29,40,19,+3,291,"$1,160",-,bio - career - this year - this tournament
18,Sam Snead,,T15,72,75,70,74,12,26,13,+3,291,"$1,160",-,bio - career - this year - this tournament
19,Jacky Cupit,,T20,73,73,72,74,22,21,16,+4,292,"$1,000",-,bio - career - this year - this tournament
20,Lionel Hebert,,T20,72,73,71,76,12,15,9,+4,292,"$1,000",-,bio - career - this year - this tournament
21,Don January,,T20,71,73,74,74,7,10,16,+4,292,"$1,000",-,bio - career - this year - this tournament
22,Johnny Pott,,T20,77,71,75,69,70,33,41,+4,292,"$1,000",-,bio - career - this year - this tournament
23,Al Balding,,24,75,68,78,72,44,8,31,+5,293,"$1,000",-,bio - career - this year - this tournament
24,Bob Charles,,T25,75,72,73,74,44,26,25,+6,294,$625,-,bio - career - this year - this tournament
25,Bob Goalby,,T25,74,74,73,73,29,33,31,+6,294,$625,-,bio - career - this year - this tournament
26,Ted Kroll,,T25,72,74,72,76,12,21,16,+6,294,$625,-,bio - career - this year - this tournament
27,Dave Ragan,,T25,70,73,76,75,3,8,19,+6,294,$625,-,bio - career - this year - this tournament
